Title,Poet,Poem,Image
Lines Written in Early Spring,William Wordsworth,"O Goddess! hear these tuneless numbers, wrung
         By sweet enforcement and remembrance dear,
And pardon that thy secrets should be sung
         Even into thine own soft-conched ear:
Surely I dreamt to-day, or did I see
         The winged Psyche with awaken'd eyes?
I wander'd in a forest thoughtlessly,
         And, on the sudden, fainting with surprise,
Saw two fair creatures, couched side by side
         In deepest grass, beneath the whisp'ring roof
         Of leaves and trembled blossoms, where there ran
                A brooklet, scarce espied:

Mid hush'd, cool-rooted flowers, fragrant-eyed,
         Blue, silver-white, and budded Tyrian,
They lay calm-breathing, on the bedded grass;
         Their arms embraced, and their pinions too;
         Their lips touch'd not, but had not bade adieu,
As if disjoined by soft-handed slumber,
And ready still past kisses to outnumber
         At tender eye-dawn of aurorean love:
                The winged boy I knew;
But who wast thou, O happy, happy dove?
                His Psyche true!

O latest born and loveliest vision far
         Of all Olympus' faded hierarchy!
Fairer than Phoebe's sapphire-region'd star,
         Or Vesper, amorous glow-worm of the sky;
Fairer than these, though temple thou hast none,
                Nor altar heap'd with flowers;
Nor virgin-choir to make delicious moan
                Upon the midnight hours;
No voice, no lute, no pipe, no incense sweet
         From chain-swung censer teeming;
No shrine, no grove, no oracle, no heat
         Of pale-mouth'd prophet dreaming.

O brightest! though too late for antique vows,
         Too, too late for the fond believing lyre,
When holy were the haunted forest boughs,
         Holy the air, the water, and the fire;
Yet even in these days so far retir'd
         From happy pieties, thy lucent fans,
         Fluttering among the faint Olympians,
I see, and sing, by my own eyes inspir'd.
So let me be thy choir, and make a moan
                Upon the midnight hours;
Thy voice, thy lute, thy pipe, thy incense sweet
         From swinged censer teeming;
Thy shrine, thy grove, thy oracle, thy heat
         Of pale-mouth'd prophet dreaming.

Yes, I will be thy priest, and build a fane
         In some untrodden region of my mind,
Where branched thoughts, new grown with pleasant pain,
         Instead of pines shall murmur in the wind:
Far, far around shall those dark-cluster'd trees
         Fledge the wild-ridged mountains steep by steep;
And there by zephyrs, streams, and birds, and bees,
         The moss-lain Dryads shall be lull'd to sleep;
And in the midst of this wide quietness
A rosy sanctuary will I dress
   With the wreath'd trellis of a working brain,
         With buds, and bells, and stars without a name,
With all the gardener Fancy e'er could feign,
         Who breeding flowers, will never breed the same:
And there shall be for thee all soft delight
         That shadowy thought can win,
A bright torch, and a casement ope at night,
         To let the warm Love in!",img_47.png
Why art thou silent! Is thy love a plant,William Wordsworth,"Why art thou silent! Is thy love a plant
Of such weak fibre that the treacherous air
Of absence withers what was once so fair?
Is there no debt to pay, no boon to grant?
Yet have my thoughts for thee been vigilant—
Bound to thy service with unceasing care,
The mind’s least generous wish a mendicant
For nought but what thy happiness could spare.
Speak— though this soft warm heart, once free to hold
A thousand tender pleasures, thine and mine,
Be left more desolate, more dreary cold
Than a forsaken bird’s-nest filled with snow
‘Mid its own bush of leafless eglantine—
Speak, that my torturing doubts their end may know.",img_48.png
Yarrow Unvisited,William Wordsworth,"From Stirling castle we had seen
The mazy Forth unravelled;
Had trod the banks of Clyde, and Tay,
And with the Tweed had travelled;
And when we came to Clovenford,
Then said my ""winsome Marrow ,""
""Whate'er betide, we'll turn aside,
And see the Braes of Yarrow.""

""Let Yarrow folk, frae Selkirk town,
Who have been buying, selling,
Go back to Yarrow, 'tis their own;
Each maiden to her dwelling!
On Yarrow's banks let her herons feed,
Hares couch, and rabbits burrow!
But we will downward with the Tweed
Nor turn aside to Yarrow.

""There's Galla Water, Leader Haughs,
Both lying right before us;
And Dryborough, where with chiming Tweed
The lintwhites sing in chorus;
There's pleasant Tiviot-dale, a land
Made blithe with plough and harrow:
Why throw away a needful day
To go in search of Yarrow?

""What's Yarrow but a river bare,
That glides the dark hills under?
There are a thousand such elsewhere
As worthy of your wonder.""
—Strange words they seemed of slight and scorn;
My True-love sighed for sorrow;
And looked me in the face, to think
I thus could speak of Yarrow!

""Oh! green,"" said I, ""are Yarrow's holms,
And sweet is Yarrow flowing!
Fair hangs the apple frae the rock,
But we will leave it growing.
O'er hilly path, and open Strath,
We'll wander Scotland thorough;
But, though so near, we will not turn
Into the dale of Yarrow.

""Let beeves and home-bred kine partake
The sweets of Burn-mill meadow,
The swan on still St. Mary's Lake
Float double, swan and shadow!
We will not see them; will not go,
To-day, nor yet to-morrow;
Enough if in our hearts we know
There's such a place as Yarrow.

""Be Yarrow stream unseen, unknown!
It must, or we shall rue it:
We have a vision of our own;
Ah! why should we undo it?
The treasured dreams of times long past,
We'll keep them, winsome Marrow!
For when we'er there, although 'tis fair,
'Twill be another Yarrow!

""If Care with freezing years should come,
And wandering seem but folly,—
Should we be loth to stir from home,
And yet be melancholy;
Should life be dull, and spirits low,
'Twill soothe us in our sorrow,
That earth has something yet to show,
The bonny holms of Yarrow!""",img_49.png
"Written in London. September, 1802",William Wordsworth,"O Friend! I know not which way I must look
For comfort, being, as I am, opprest,
To think that now our life is only drest
For show; mean handy-work of craftsman, cook,
Or groom! — We must run glittering like a brook
In the open sunshine, or we are unblest:
The wealthiest man among us is the best:
No grandeur now in nature or in book
Delights us. Rapine, avarice, expense,
This is idolatry; and these we adore:
Plain living and high thinking are no more:
The homely beauty of the good old cause
Is gone; our peace, our fearful innocence,
And pure religion breathing household laws.",img_50.png
The Virgin,William Wordsworth,"Mother! whose virgin bosom was uncrost
With the least shade of thought to sin allied.
Woman! above all women glorified,
Our tainted nature's solitary boast;
Purer than foam on central ocean tost;
Brighter than eastern skies at daybreak strewn
With fancied roses, than the unblemished moon
Before her wane begins on heaven's blue coast;
Thy image falls to earth. Yet some, I ween,
Not unforgiven the suppliant knee might bend,
As to a visible Power, in which did blend
All that was mixed and reconciled in thee
Of mother's love with maiden purity,
Of high with low, celestial with terrene!",img_51.png
To the Cuckoo,William Wordsworth,"O blithe New-comer! I have heard,
I hear thee and rejoice.
O Cuckoo! shall I call thee Bird,
Or but a wandering Voice?

While I am lying on the grass
Thy twofold shout I hear;
From hill to hill it seems to pass,
At once far off, and near.

Though babbling only to the Vale
Of sunshine and of flowers,
Thou bringest unto me a tale
Of visionary hours.

Thrice welcome, darling of the Spring!
Even yet thou art to me
No bird, but an invisible thing,
A voice, a mystery;

The same whom in my school-boy days
I listened to; that Cry
Which made me look a thousand ways
In bush, and tree, and sky.

To seek thee did I often rove
Through woods and on the green;
And thou wert still a hope, a love;
Still longed for, never seen.

And I can listen to thee yet;
Can lie upon the plain
And listen, till I do beget
That golden time again.

O blessèd Bird! the earth we pace
Again appears to be
An unsubstantial, faery place;
That is fit home for Thee!
",img_52.png
To the Skylark,William Wordsworth,"Ethereal minstrel! pilgrim of the sky!
Dost thou despise the earth where cares abound?
Or, while the wings aspire, are heart and eye
Both with thy nest upon the dewy ground?
Thy nest which thou canst drop into at will,
Those quivering wings composed, that music still!

Leave to the nightingale her shady wood;
A privacy of glorious light is thine;
Whence thou dost pour upon the world a flood
Of harmony, with instinct more divine;
Type of the wise who soar, but never roam;
True to the kindred points of Heaven and Home!",img_53.png
Sonnets from The River Duddon: After-Thought,William Wordsworth,"I thought of Thee, my partner and my guide,
As being past away.—Vain sympathies!
For, backward, Duddon! as I cast my eyes,
I see what was, and is, and will abide;
Still glides the Stream, and shall for ever glide;
The Form remains, the Function never dies;
While we, the brave, the mighty, and the wise,
We Men, who in our morn of youth defied
The elements, must vanish;—be it so!
Enough, if something from our hands have power
To live, and act, and serve the future hour;
And if, as toward the silent tomb we go,
Through love, through hope, and faith's transcendent dower,
We feel that we are greater than we know.",img_54.png
The Solitary Reaper,William Wordsworth,"Behold her, single in the field,
Yon solitary Highland Lass!
Reaping and singing by herself;
Stop here, or gently pass!
Alone she cuts and binds the grain,
And sings a melancholy strain;
O listen! for the Vale profound
Is overflowing with the sound.

No Nightingale did ever chaunt
More welcome notes to weary bands
Of travellers in some shady haunt,
Among Arabian sands:
A voice so thrilling ne'er was heard
In spring-time from the Cuckoo-bird,
Breaking the silence of the seas
Among the farthest Hebrides.

Will no one tell me what she sings?—
Perhaps the plaintive numbers flow
For old, unhappy, far-off things,
And battles long ago:
Or is it some more humble lay,
Familiar matter of to-day?
Some natural sorrow, loss, or pain,
That has been, and may be again?

Whate'er the theme, the Maiden sang
As if her song could have no ending;
I saw her singing at her work,
And o'er the sickle bending;—
I listened, motionless and still;
And, as I mounted up the hill,
The music in my heart I bore,
Long after it was heard no more.",img_55.png
A Slumber did my Spirit Seal,William Wordsworth,"A slumber did my spirit seal;
I had no human fears:
She seemed a thing that could not feel
The touch of earthly years.

No motion has she now, no force;
She neither hears nor sees;
Rolled round in earth's diurnal course,
With rocks, and stones, and trees.",img_56.png
The Simplon Pass,William Wordsworth,"Were fellow-travellers in this gloomy Pass,
And with them did we journey several hours
At a slow step. The immeasurable height
Of woods decaying, never to be decayed,
The stationary blasts of waterfalls,
And in the narrow rent, at every turn,
Winds thwarting winds bewildered and forlorn,
The torrents shooting from the clear blue sky,
The rocks that muttered close upon our ears,
Black drizzling crags that spake by the wayside
As if a voice were in them, the sick sight
And giddy prospect of the raving stream,
The unfettered clouds and region of the heavens,
Tumult and peace, the darkness and the light—
Were all like workings of one mind, the features
Of the same face, blossoms upon one tree,
Characters of the great Apocalypse,
The types and symbols of Eternity,
Of first and last, and midst, and without end.",img_57.png
She Was a Phantom of Delight,William Wordsworth,"She was a Phantom of delight
When first she gleamed upon my sight;
A lovely Apparition, sent
To be a moment's ornament;
Her eyes as stars of Twilight fair;
Like Twilight's, too, her dusky hair;
But all things else about her drawn
From May-time and the cheerful Dawn;
A dancing Shape, an Image gay,
To haunt, to startle, and way-lay.
I saw her upon nearer view,
A Spirit, yet a Woman too!
Her household motions light and free,
And steps of virgin-liberty;
A countenance in which did meet
Sweet records, promises as sweet;
A Creature not too bright or good
For human nature's daily food;
For transient sorrows, simple wiles,
Praise, blame, love, kisses, tears, and smiles.
And now I see with eye serene
The very pulse of the machine;
A Being breathing thoughtful breath,
A Traveller between life and death;
The reason firm, the temperate will,
Endurance, foresight, strength, and skill;
A perfect Woman, nobly planned,
To warn, to comfort, and command;
And yet a Spirit still, and bright
With something of angelic light.",img_58.png
She Dwelt among the Untrodden Ways,William Wordsworth,"She dwelt among the untrodden ways
Beside the springs of Dove,
A Maid whom there were none to praise
And very few to love:

A violet by a mossy stone
Half hidden from the eye!
—Fair as a star, when only one
Is shining in the sky.

She lived unknown, and few could know
When Lucy ceased to be;
But she is in her grave, and, oh,
The difference to me!",img_59.png
Scorn not the Sonnet,William Wordsworth,"Scorn not the Sonnet; Critic, you have frowned,
Mindless of its just honours; with this key
Shakespeare unlocked his heart; the melody
Of this small lute gave ease to Petrarch's wound;
A thousand times this pipe did Tasso sound;
With it Camöens soothed an exile's grief;
The Sonnet glittered a gay myrtle leaf
Amid the cypress with which Dante crowned
His visionary brow: a glow-worm lamp,
It cheered mild Spenser, called from Faery-land
To struggle through dark ways; and, when a damp
Fell round the path of Milton, in his hand
The Thing became a trumpet; whence he blew
Soul-animating strains—alas, too few!",img_60.png
Epitaph,Samuel Taylor Coleridge,"Stop, Christian passer-by!—Stop, child of God,
And read with gentle breast. Beneath this sod
A poet lies, or that which once seemed he.
O, lift one thought in prayer for S. T. C.;
That he who many a year with toil of breath
Found death in life, may here find life in death!
Mercy for praise—to be forgiven for fame
He asked, and hoped, through Christ. Do thou the same!",img_61.png
Desire,Samuel Taylor Coleridge,"Where true Love burns Desire is Love’s pure flame;
It is the reflex of our earthly frame,
That takes its meaning from the nobler part,
And but translates the language of the heart.",img_62.png
To Asra,Samuel Taylor Coleridge,"Are there two things, of all which men possess,
That are so like each other and so near,
As mutual Love seems like to Happiness?
Dear Asra, woman beyond utterance dear!
This love which ever welling at my heart,
Now in its living fount doth heave and fall,
Now overflowing pours thro’ every part
Of all my frame, and fills and changes all,
Like vernal waters springing up through snow,
This Love that seeming great beyond the power
Of growth, yet seemeth ever more to grow,
Could I transmute the whole to one rich Dower
Of Happy Life, and give it all to Thee,
Thy lot, methinks, were Heaven, thy age, Eternity!",img_63.png
"Something Childish, but Very Natural",Samuel Taylor Coleridge,"If I had but two little wings
And were a little feathery bird,
To you I'd fly, my dear!
But thoughts like these are idle things,
And I stay here.

But in my sleep to you I fly:
I'm always with you in my sleep!
The world is all one's own.
But then one wakes, and where am I?
All, all alone.

Sleep stays not, though a monarch bids:
So I love to wake ere break of day:
For though my sleep be gone,
Yet while 'tis dark, one shuts one's lids,
And still dreams on.",img_64.png
The Pains of Sleep,Samuel Taylor Coleridge,"Ere on my bed my limbs I lay,
It hath not been my use to pray
With moving lips or bended knees;
But silently, by slow degrees,
My spirit I to Love compose,
In humble trust mine eye-lids close,
With reverential resignation
No wish conceived, no thought exprest,
Only a sense of supplication;
A sense o'er all my soul imprest
That I am weak, yet not unblest,
Since in me, round me, every where
Eternal strength and Wisdom are.

But yester-night I prayed aloud
In anguish and in agony,
Up-starting from the fiendish crowd
Of shapes and thoughts that tortured me:
A lurid light, a trampling throng,
Sense of intolerable wrong,
And whom I scorned, those only strong!
Thirst of revenge, the powerless will
Still baffled, and yet burning still!
Desire with loathing strangely mixed
On wild or hateful objects fixed.
Fantastic passions! maddening brawl!
And shame and terror over all!
Deeds to be hid which were not hid,
Which all confused I could not know
Whether I suffered, or I did:
For all seemed guilt, remorse or woe,
My own or others still the same
Life-stifling fear, soul-stifling shame.

So two nights passed: the night's dismay
Saddened and stunned the coming day.
Sleep, the wide blessing, seemed to me
Distemper's worst calamity.
The third night, when my own loud scream
Had waked me from the fiendish dream,
O'ercome with sufferings strange and wild,
I wept as I had been a child;
And having thus by tears subdued
My anguish to a milder mood,
Such punishments, I said, were due
To natures deepliest stained with sin,—
For aye entempesting anew
The unfathomable hell within,
The horror of their deeds to view,
To know and loathe, yet wish and do!
Such griefs with such men well agree,
But wherefore, wherefore fall on me?
To be loved is all I need,
And whom I love, I love indeed.",img_65.png
Love's Apparition and Evanishment: An Allegoric Romance,Samuel Taylor Coleridge,"Like a lone Arab, old and blind,
Some caravan had left behind,
Who sits beside a ruin'd well,
Where the shy sand-asps bask and swell;
And now he hangs his ag{'e}d head aslant,
And listens for a human sound—in vain!
And now the aid, which Heaven alone can grant,
Upturns his eyeless face from Heaven to gain;—
Even thus, in vacant mood, one sultry hour,
Resting my eye upon a drooping plant,
With brow low-bent, within my garden-bower,
I sate upon the couch of camomile;
And—whether 'twas a transient sleep, perchance,
Flitted across the idle brain, the while
I watch'd the sickly calm with aimless scope,
In my own heart; or that, indeed a trance,
Turn'd my eye inward—thee, O genial Hope,
Love's elder sister! thee did I behold
Drest as a bridesmaid, but all pale and cold,
With roseless cheek, all pale and cold and dim,
      Lie lifeless at my feet!
And then came Love, a sylph in bridal trim,
      And stood beside my seat;
She bent, and kiss'd her sister's lips,
      As she was wont to do;—
Alas! 'twas but a chilling breath
Woke just enough of life in death
      To make Hope die anew.",img_66.png
Inscription for a Fountain on a Heath,Samuel Taylor Coleridge,"This Sycamore, oft musical with bees,—
Such tents the Patriarchs loved! O long unharmed
May all its agèd boughs o'er-canopy
The small round basin, which this jutting stone
Keeps pure from falling leaves! Long may the Spring,
Quietly as a sleeping infant's breath,
Send up cold waters to the traveller
With soft and even pulse! Nor ever cease
Yon tiny cone of sand its soundless dance,
Which at the bottom, like a Fairy's Page,
As merry and no taller, dances still,
Nor wrinkles the smooth surface of the Fount.
Here Twilight is and Coolness: here is moss,
A soft seat, and a deep and ample shade.
Thou may'st toil far and find no second tree.
Drink, Pilgrim, here; Here rest! and if thy heart
Be innocent, here too shalt thou refresh
Thy spirit, listening to some gentle sound,
Or passing gale or hum of murmuring bees!",img_67.png
"The Good, Great Man",Samuel Taylor Coleridge,"""How seldom, friend! a good great man inherits
Honour or wealth with all his worth and pains!
It sounds like stories from the land of spirits
If any man obtain that which he merits
Or any merit that which he obtains.""

REPLY TO THE ABOVE
For shame, dear friend, renounce this canting strain!
What would'st thou have a good great man obtain?
Place? titles? salary? a gilded chain?
Or throne of corses which his sword had slain?
Greatness and goodness are not means, but ends!
Hath he not always treasures, always friends,
The good great man? three treasures, LOVE, and LIGHT,
And CALM THOUGHTS, regular as infant's breath:
And three firm friends, more sure than day and night,
HIMSELF, his MAKER, and the ANGEL DEATH!",img_68.png
Fragment 9: The Netherlands,Samuel Taylor Coleridge,"Water and windmills, greenness, Islets green;—
Willows whose Trunks beside the shadows stood
Of their own higher half, and willowy swamp:—
Farmhouses that at anchor seem'd—in the inland sky
The fog-transfixing Spires—
Water, wide water, greenness and green banks,
And water seen—
",img_69.png
"Fragment 6: The Moon, how definite its orb!",Samuel Taylor Coleridge,"The Moon, how definite its orb!
Yet gaze again, and with a steady gaze—
'Tis there indeed,—but where is it not?—
It is suffused o'er all the sapphire Heaven,
Trees, herbage, snake-like stream, unwrinkled Lake,
Whose very murmur does of it partake
And low and close the broad smooth mountain
Is more a thing of Heaven than when
Distinct by one dim shade and yet undivided from the universal cloud
In which it towers, finite in height.",img_70.png
"Fragment 4: As some vast Tropic tree, itself a wood",Samuel Taylor Coleridge,"As some vast Tropic tree, itself a wood,
That crests its Head with clouds, beneath the flood
Feeds its deep roots, and with the bulging flank
Of its wide base controls the fronting bank,
(By the slant current's pressure scoop'd away
The fronting bank becomes a foam-piled bay)
High in the Fork the uncouth Idol knits
His channel'd Brows; low murmurs stir by fits
And dark below the horrid Faquir sits;
An Horror from its broad Head's branchy wreath
Broods o'er the rude Idolatry beneath—",img_71.png
Stanzas for Music,Lord Byron (George Gordon),"There be none of Beauty's daughters
With a magic like thee;
And like music on the waters
Is thy sweet voice to me:
When, as if its sound were causing
The charmed ocean's pausing,
The waves lie still and gleaming,
And the lull'd winds seem dreaming:

And the midnight moon is weaving
Her bright chain o'er the deep;
Whose breast is gently heaving,
As an infant's asleep:
So the spirit bows before thee,
To listen and adore thee;
With a full but soft emotion,
Like the swell of Summer's ocean.",img_72.png
"from Don Juan: Canto 1, Stanzas 218",Lord Byron (George Gordon),"What is the end of Fame? 'tis but to fill
   A certain portion of uncertain paper:
Some liken it to climbing up a hill,
   Whose summit, like all hills', is lost in vapour;
For this men write, speak, preach, and heroes kill,
   And bards burn what they call their 'midnight taper,'
To have, when the original is dust,
A name, a wretched picture, and worse bust.",img_73.png
"from Don Juan: Canto 1, Stanzas 219",Lord Byron (George Gordon),"What are the hopes of man? old Egypt's King
   Cheops erected the first pyramid
And largest, thinking it was just the thing
   To keep his memory whole, and mummy hid;
But somebody or other rummaging,
   Burglariously broke his coffin's lid:
Let not a monument give you or me hopes,
Since not a pinch of dust remains of Cheops. ",img_74.png
"from Don Juan: Canto 1, Stanzas 221",Lord Byron (George Gordon),"But for the present, gentle reader! and
   Still gentler purchaser! the bard—that's I—
Must, with permission, shake you by the hand,
   And so your humble servant, and good bye!
We meet again, if we should understand
   Each other; and if not, I shall not try
Your patience further than by this short sample—
'Twere well if others follow'd my example.",img_75.png
"from Don Juan: Canto 1, Stanzas 47",Lord Byron (George Gordon),"Sermons he read, and lectures he endured,
   And homilies, and lives of all the saints;
To Jerome and to Chrysostom inured,
   He did not take such studies for restraints;
But how faith is acquired, and then insured,
   So well not one of the aforesaid paints
As Saint Augustine in his fine Confessions,
Which make the reader envy his transgressions.",img_76.png
"from Don Juan: Canto 1, Stanzas 48",Lord Byron (George Gordon),"This, too, was a seal'd book to little Juan—
   I can't but say that his mamma was right,
If such an education was the true one.
   She scarcely trusted him from out her sight;
Her maids were old, and if she took a new one
   You might be sure she was a perfect fright,
She did this during even her husband's life—
I recommend as much to every wife.",img_77.png
"from Don Juan: Canto 1, Stanzas 41",Lord Byron (George Gordon),"His classic studies made a little puzzle,
   Because of filthy loves of gods and goddesses,
Who in the earlier ages raised a bustle,
   But never put on pantaloons or bodices;
His reverend tutors had at times a tussle,
   And for their Aeneids, Iliads, and Odysseys,
Were forced to make an odd sort of apology,
For Donna Inez dreaded the mythology.",img_78.png
"from Don Juan: Canto 1, Stanzas 42",Lord Byron (George Gordon),"Ovid's a rake, as half his verses show him,
   Anacreon's morals are a still worse sample,
Catullus scarcely has a decent poem,
   I don't think Sappho's Ode a good example,
Although Longinus tells us there is no hymn
   Where the sublime soars forth on wings more ample:
But Virgil's songs are pure, except that horrid one
Beginning with 'Formosum Pastor Corydon.'",img_79.png
"from Don Juan: Canto 1, Stanzas 60",Lord Byron (George Gordon),"Her eye (I'm very fond of handsome eyes)
   Was large and dark, suppressing half its fire
Until she spoke, then through its soft disguise
   Flash'd an expression more of pride than ire,
And love than either; and there would arise
   A something in them which was not desire,
But would have been, perhaps, but for the soul
Which struggled through and chasten'd down the whole.",img_80.png
"from Don Juan: Canto 1, Stanzas 61",Lord Byron (George Gordon),"Her glossy hair was cluster'd o'er a brow
   Bright with intelligence, and fair, and smooth;
Her eyebrow's shape was like the aerial bow,
   Her cheek all purple with the beam of youth,
Mounting at times to a transparent glow,
   As if her veins ran lightning; she, in sooth,
Possess'd an air and grace by no means common:
Her stature tall—I hate a dumpy woman.",img_81.png
"from Don Juan: Canto 1, Stanzas 61",Lord Byron (George Gordon),"Wedded she was some years, and to a man
   Of fifty, and such husbands are in plenty;
And yet, I think, instead of such a ONE
   'Twere better to have TWO of five-and-twenty,
Especially in countries near the sun:
   And now I think on't, 'mi vien in mente,'
Ladies even of the most uneasy virtue
Prefer a spouse whose age is short of thirty.",img_82.png
"from Don Juan: Canto 1, Stanzas 61",Lord Byron (George Gordon),"Tis a sad thing, I cannot choose but say,
   And all the fault of that indecent sun,
Who cannot leave alone our helpless clay,
   But will keep baking, broiling, burning on,
That howsoever people fast and pray,
   The flesh is frail, and so the soul undone:
What men call gallantry, and gods adultery,
Is much more common where the climate 's sultry.",img_83.png
Love and Death 1,Lord Byron (George Gordon),"I watched thee when the foe was at our side,
Ready to strike at him—or thee and me,
Were safety hopeless—rather than divide
Aught with one loved save love and liberty.
",img_84.png
Love and Death 2,Lord Byron (George Gordon),"I watched thee on the breakers, when the rock
Received our prow, and all was storm and fear,
And bade thee cling to me through every shock;
This arm would be thy bark, or breast thy bier.",img_85.png
Love and Death 4,Lord Byron (George Gordon),"The earthquake came, and rocked the quivering wall,
And men and nature reeled as if with wine.
Whom did I seek around the tottering hall?
For thee. Whose safety first provide for? Thine.",img_86.png
Love and Death 5,Lord Byron (George Gordon),"And when convulsive throes denied my breath
The faintest utterance to my fading thought,
To thee—to thee—e’en in the gasp of death
My spirit turned, oh! oftener than it ought.",img_87.png
Prometheus,Lord Byron (George Gordon),"Titan! to whose immortal eyes
         The sufferings of mortality,
         Seen in their sad reality,
Were not as things that gods despise;
What was thy pity's recompense?
A silent suffering, and intense;
The rock, the vulture, and the chain,
All that the proud can feel of pain,
The agony they do not show,
The suffocating sense of woe,
         Which speaks but in its loneliness,
And then is jealous lest the sky
Should have a listener, nor will sigh
         Until its voice is echoless.

Titan! to thee the strife was given
         Between the suffering and the will,
         Which torture where they cannot kill;
And the inexorable Heaven,
And the deaf tyranny of Fate,
The ruling principle of Hate,
Which for its pleasure doth create
The things it may annihilate,
Refus'd thee even the boon to die:
The wretched gift Eternity
Was thine—and thou hast borne it well.
All that the Thunderer wrung from thee
Was but the menace which flung back
On him the torments of thy rack;
The fate thou didst so well foresee,
But would not to appease him tell;
And in thy Silence was his Sentence,
And in his Soul a vain repentance,
And evil dread so ill dissembled,
That in his hand the lightnings trembled.

Thy Godlike crime was to be kind,
         To render with thy precepts less
         The sum of human wretchedness,
And strengthen Man with his own mind;
But baffled as thou wert from high,
Still in thy patient energy,
In the endurance, and repulse
         Of thine impenetrable Spirit,
Which Earth and Heaven could not convulse,
         A mighty lesson we inherit:
Thou art a symbol and a sign
         To Mortals of their fate and force;
Like thee, Man is in part divine,
         A troubled stream from a pure source;
And Man in portions can foresee
His own funereal destiny;
His wretchedness, and his resistance,
And his sad unallied existence:
To which his Spirit may oppose
Itself—and equal to all woes,
         And a firm will, and a deep sense,
Which even in torture can descry
         Its own concenter'd recompense,
Triumphant where it dares defy,
And making Death a Victory.",img_88.png
"January 22nd, Missolonghi",Lord Byron (George Gordon),"Tis time this heart should be unmoved,
       Since others it hath ceased to move:
Yet though I cannot be beloved,
                                    Still let me love!

   My days are in the yellow leaf;
       The flowers and fruits of Love are gone;
The worm—the canker, and the grief
                                    Are mine alone!

   The fire that on my bosom preys
       Is lone as some Volcanic Isle;
No torch is kindled at its blaze
                                    A funeral pile.

   The hope, the fear, the jealous care,
       The exalted portion of the pain
And power of Love I cannot share,
                                    But wear the chain.

   But 'tis not thus—and 'tis not here
       Such thoughts should shake my Soul, nor now,
Where Glory decks the hero's bier,
                                    Or binds his brow.

   The Sword, the Banner, and the Field,
       Glory and Greece around us see!
The Spartan borne upon his shield
                                    Was not more free.

   Awake (not Greece—she is awake!)
       Awake, my Spirit! Think through whom
Thy life-blood tracks its parent lake
                                    And then strike home!

   Tread those reviving passions down
       Unworthy Manhood—unto thee
Indifferent should the smile or frown
                                    Of beauty be.

   If thou regret'st thy Youth, why live?
       The land of honourable Death
Is here:—up to the Field, and give
                                    Away thy breath!

   Seek out—less often sought than found—
       A Soldier's Grave, for thee the best;
Then look around, and choose thy Ground,
                                    And take thy rest.",img_89.png
Lines to Mr. Hodgson Written on Board the Lisbon Packet,Lord Byron (George Gordon),"Huzza! Hodgson, we are going,
Our embargo's off at last;
Favourable breezes blowing
Bend the canvass o'er the mast.
From aloft the signal's streaming,
Hark! the farewell gun is fir'd;
Women screeching, tars blaspheming,
Tell us that our time's expir'd.
Here's a rascal
Come to task all,
Prying from the custom-house;
Trunks unpacking
Cases cracking,
Not a corner for a mouse
'Scapes unsearch'd amid the racket,
Ere we sail on board the Packet.

Now our boatmen quit their mooring,
And all hands must ply the oar;
Baggage from the quay is lowering,
We're impatient—push from shore.
""Have a care! that case holds liquor—
Stop the boat—I'm sick—oh Lord!""
""Sick, ma'am, damme, you'll be sicker,
Ere you've been an hour on board.""
Thus are screaming
Men and women,
Gemmen, ladies, servants, Jacks;
Here entangling,
All are wrangling,
Stuck together close as wax.—
Such the genial noise and racket,
Ere we reach the Lisbon Packet.

Now we've reach'd her, lo! the captain,
Gallant Kidd, commands the crew;
Passengers their berths are clapt in,
Some to grumble, some to spew.
""Hey day! call you that a cabin?
Why 't is hardly three feet square;
Not enough to stow Queen Mab in—
Who the deuce can harbour there?""
""Who, sir? plenty—
Nobles twenty
Did at once my vessel fill.""
""Did they? Jesus,
How you squeeze us!
Would to God they did so still:
Then I'd 'scape the heat and racket
Of the good ship, Lisbon Packet.""

Fletcher! Murray! Bob! where are you?
Stretch'd along the deck like logs—
Bear a hand, you jolly tar, you!
Here's a rope's end for the dogs.
Hobhouse muttering fearful curses,
As the hatchway down he rolls,
Now his breakfast, now his verses,
Vomits forth—and damns our souls.
""Here's a stanza
On Braganza—
Help!""—""A couplet?""—""No, a cup
Of warm water—""
""What's the matter?""
""Zounds! my liver's coming up;
I shall not survive the racket
Of this brutal Lisbon Packet.""

Now at length we're off for Turkey,
Lord knows when we shall come back!
Breezes foul and tempests murky
May unship us in a crack.
But, since life at most a jest is,
As philosophers allow,
Still to laugh by far the best is,
Then laugh on—as I do now.
Laugh at all things,
Great and small things,
Sick or well, at sea or shore;
While we're quaffing,
Let's have laughing—
Who the devil cares for more?—
Some good wine! and who would lack it,
Ev'n on board the Lisbon Packet?",img_90.png
Rondeau,Leigh Hunt,"Jenny kissed me when we met,
   Jumping from the chair she sat in;
Time, you thief, who love to get
   Sweets into your list, put that in:
Say I'm weary, say I'm sad,
   Say that health and wealth have missed me,
Say I'm growing old, but add,
   Jenny kissed me.",img_91.png
